DEPARTMENT,EVENT,DATE,TIME,VENUE
STUDENT COUNCIL,ROBOWAR (15KG),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA
,ROBOWAR (8KGS),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA
,ROBOWAR (3LBS),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA
MECH,ROBO SUMO,,,
,ROBO TUG OF WAR,,,
,FIFA,,,`
,BRIDGE CONSTRUCTION,,,
COMP,ROBO SOCCER,4/29/2026,,AITD FOYER
,CODING EVENT,4/29/2026,,"LBC5 , LBC6"
,CLASH ROYAL,4/30/2026,,LHC4
,CAPTURE THE FLAG,4/30/2026,,LBC4
ECE,LINE FOLLOWER ROBOT,4/29/2026,,"LHE 2,3"
,TREASURE HUNT,4/29/2026,10AM - 5PM,ECE TUTORIAL HALL
,PROJECT PRESENTATION,4/30/2026,10AM - 5PM,SEMINAR HALL
,VIRTUAL CRICKET,29/30 -04-2026,10AM - 5PM,LIBRARY
,CIRCUIT SIMULATION,4/30/2026,10AM - 5PM,"LBE 2,3,4,5,6"
MBA,BUSINESS PITCH,4/29/2026,11AM ONWARDS,
ROBOCLUB,ROBO MAZE SOLVER,4/29/2026,,
,ROBO RACE,4/30/2026,,BASKETBALL COURT
IIC,HACKATHON,29/30 -04-2026,2PM-2PM(24HRS),MULTIPURPOSE HALL
BSH,SYMMETRY ART,4/29/2026,10AM ONWARDS,PHYSICS LAB
,STRUCTOMAT,4/29/2026,10AM ONWARDS,DHM2
